,panel_name,total_loan_amt,9in10yr_loan_amt,9in100yr_loan_amt,21in10yr_loan_amt,21in100yr_loan_amt
485,THRIVENT FCU,155,0.0,0.0,0.0,0.0
486,TIAA-CREF TC FSB,4414,0.0,321.0,321.0,441.0
487,TIDEWATER MORT. SERVICES INC,2209,0.0,0.0,0.0,516.0
488,TOP FLITE FINANCIAL,375,0.0,0.0,0.0,0.0
489,"TOTAL MORTGAGE SERVICES, LLC",7098,0.0,308.0,308.0,308.0
490,TOWER FCU,280,0.0,0.0,0.0,0.0
491,TRANSPORTATION FCU,50,0.0,0.0,0.0,0.0
492,TREMONT CU,11907,0.0,0.0,120.0,120.0
493,U S BK NA,42964,0.0,1006.0,3730.0,5471.0
494,UBS AG TAMPA BR,715,0.0,0.0,0.0,0.0
495,UBS BK USA,36933,0.0,7207.0,8423.0,10803.0
496,UMASSFIVE COLLEGE FCU,775,0.0,0.0,0.0,0.0
497,UMB BK NA,1217,0.0,0.0,0.0,0.0
498,UNIBANK FOR SVG,14393,0.0,1369.0,1766.0,2086.0
499,UNIFY FINANCIAL CREDIT UNION,343,0.0,0.0,0.0,85.0
500,UNION YES FCU,790334,183.0,34737.0,68792.0,113627.0
501,UNITED BANK MORTGAGE CORP,504,0.0,0.0,0.0,0.0
502,UNITED BK,45465,0.0,1197.0,1900.0,3666.0
503,UNITED NATIONS FCU,546,0.0,250.0,0.0,250.0
504,UNITED SHORE FINANCIAL SERVICE,89647,0.0,6686.0,11245.0,15351.0
505,UNIVERSITY ISLAMIC FINANCIAL,191,0.0,0.0,0.0,0.0
506,"URBAN FINANCIAL GROUP, INC.",298,0.0,0.0,0.0,0.0
507,US MORTGAGE CORPORATION,1264,0.0,268.0,268.0,268.0
508,USAA FSB,27290,0.0,0.0,1209.0,2150.0
509,USALLIANCE FCU,20455,0.0,3282.0,3282.0,5418.0
510,VANGUARD FUNDING LLC,1027,0.0,0.0,0.0,0.0
511,VELOCITY COMMERCIAL CAPITAL,3954,0.0,0.0,0.0,350.0
512,VILLAGE BK,17895,0.0,0.0,0.0,805.0
513,VILLAGE MORTGAGE COMPANY,24601,0.0,1292.0,2513.0,2961.0
514,WAKEFIELD CO-OP BK,15953,0.0,1151.0,1151.0,1151.0
515,"WALKER & DUNLOP, LLC",73196,0.0,0.0,23668.0,23668.0
516,WALPOLE CO-OP BK,43806,0.0,450.0,450.0,2267.0
517,WASHINGTON SVG BK,1260,0.0,0.0,0.0,0.0
518,WASHINGTON TC,1917,0.0,0.0,37.0,532.0
519,WASHINGTON TC OF WESTERLY,5218,0.0,0.0,653.0,1153.0
520,WASHINGTON TR MTG CO LLC,211143,0.0,12290.0,22504.0,34761.0
521,"WATERMARK CAPITAL, INC.",2388,0.0,413.0,413.0,413.0
522,WATERSTONE BK,1366,0.0,0.0,0.0,0.0
523,WATERSTONE MORTGAGE CORP.,2310,0.0,606.0,973.0,973.0
524,WATERTOWN SVG BK,14010,0.0,0.0,323.0,1367.0
525,WEBSTER BK NA,172573,0.0,6769.0,11406.0,19620.0
526,WEBSTER FIRST FCU,5187,0.0,1115.0,1175.0,1735.0
527,WEBSTER FIVE CENTS SVG BK,33742,0.0,612.0,1469.0,3113.0
528,WEI MORTGAGE CORPORATION,417,0.0,0.0,0.0,0.0
529,WELLESLEY BK,115402,0.0,6276.0,10388.0,12658.0
530,WELLS FARGO BK NA,818276,161.0,38470.0,72640.0,103183.0
531,WESTSTAR MORTGAGE INC,504,0.0,0.0,0.0,0.0
532,WEYMOUTH BK,765,0.0,0.0,44.0,44.0
533,"WILLIAM RAVEIS MORTGAGE, LLC",49621,0.0,2181.0,2923.0,3836.0
534,WILMINGTON SVG FUND SCTY FSB,766,0.0,0.0,0.0,0.0
535,WINCHESTER CO-OP BK,17388,0.0,1232.0,1232.0,4259.0
536,WINCHESTER SVG BK,12472,0.0,3324.0,3495.0,5272.0
537,WINGS FNCL CU,304,0.0,0.0,0.0,0.0
538,WINTER HILL BK,28599,0.0,2746.0,3064.0,7372.0
539,WORKERS CU,3008,0.0,310.0,563.0,563.0
540,WRENTHAM CO-OP BK,127,0.0,0.0,0.0,0.0
