,panel_name,loan_amount,originations,banksize
190,EASTERN BK,899979,3092,1
191,EASTHAMPTON SVG BK,1235,3,3
192,EASTMAN CU,200,1,3
193,EDISON NB,523,1,3
194,"EMBRACE HOME LOANS, INC.",145382,509,2
195,EMIGRANT FUNDING CORP,3787,10,3
196,"EMIGRANT MORTGAGE COMPANY, INC",4931,12,3
197,EMPLOYERS REASSURANCE CORP,2050,1,3
198,ENERGY CU,6329,33,3
199,ENTERPRISE B&TC,23412,39,3
200,"ENVOY MORTGAGE, LTD",93292,310,2
201,EQUITABLE BANK,32339,268,2
202,EQUITABLE CO-OP BK,1096,7,3
203,"EQUITY LOANS, LLC",7825,23,3
204,EVERBANK,236350,542,2
205,EVERENCE FCU,254,1,3
206,EVERETT CO-OP BK,56447,100,2
207,EVERETT CU,2245,11,3
208,EVERETT FINANCIAL INC.,1508,4,3
209,EVOLVE B&TC,34082,118,2
210,FAIRFIELD CTY BK,417,1,3
211,FAIRWAY INDP MORTGAGE CORP,988207,2993,1
212,FALL RIVER FIVE CENTS SVGS BK,23612,165,3
213,FALL RIVER MUNI CU,2162,19,3
214,FAMILY FED SVG,12463,41,3
215,"FARM CREDIT EAST, ACA",6754,18,3
216,FARMERS B&TC,739,3,3
217,FARMERS BANK & TRUST,324,2,3
218,FARMINGTON BK,46735,83,2
219,"FBC MORTGAGE, LLC",292829,845,2
220,FEARON FINANCIAL LLC,5878,11,3
221,FEDERAL SVGS BK,35774,111,2
222,FEDEX EMPL CA FCU,23,1,3
223,FFC MORTGAGE CORP,2203,8,3
224,FIDELITY CO-OP BK,27689,81,3
225,FIFTH THIRD MTG CO,35608,65,2
226,FINANCE OF AMERICA MORTGAGE,78175,262,2
227,"FINANCE OF AMERICA REVERSE, LL",155,1,3
228,FINANCIAL RESOURCES FCU,1883,7,3
229,FINEMARK NB&TC,444,1,3
230,FIRST AMERICAN MORTGAGE TRUST,13147,38,3
231,FIRST BK,2437,9,3
232,FIRST CHOICE LOAN SERVICES INC,6500,21,3
233,FIRST CITIZENS FCU,40036,195,2
234,FIRST COMMAND BK,365,1,3
235,FIRST COMMONS BK NA,81368,124,2
236,FIRST EXCH BK,341,1,3
237,FIRST FED BK FSB,3966,12,3
238,FIRST FED BK OF FL,3588,10,3
239,FIRST FED BK OF KS CITY,2898,9,3
240,FIRST FSB OF BOSTON,191230,648,2
241,FIRST GUARANTY MORTGAGE CORP,22995,78,3
242,FIRST HOME MORTGAGE CORPORATIO,232676,827,2
243,FIRST INTERNET BK IN,10073,29,3
244,FIRST IPSWICH BK,13298,26,3
245,FIRST MARINER BK,3147,9,3
246,FIRST MW BK,56,6,3
247,FIRST NB,1367,2,3
248,FIRST NB AMER,1327,6,3
249,FIRST NIAGARA BK NA,158891,189,2
250,FIRST PRIORITY CU,13555,66,3
251,FIRST REPUBLIC BK,1714343,1934,1
252,FIRST ST BK,196,1,3
253,FIRST TECH FCU,1849,9,3
254,FIRST TRADE UNION BK,5771,11,3
