,census_tract_number,panel_name,loan_amount,rank
3321,501.01,WELLS FARGO BK NA,2746,4.0
3303,501.01,PEOPLESBANK,2625,5.0
3304,501.01,PRIMELENDING A PLAINSCAPITAL C,2069,6.0
3277,501.01,FIRST REPUBLIC BK,1750,7.0
3254,501.01,CAMBRIDGE SVG BK,1718,8.0
3312,501.01,SAGE BK,1621,9.0
3247,501.01,AMERICAN NEIGHBORHOOD MORTGAGE,1416,10.0
3346,502.0,EAST BOSTON SVG BK,43564,1.0
3361,502.0,GUARANTEED RATE INC.,11654,2.0
3372,502.0,MSA MORTGAGE LLC,4856,3.0
3352,502.0,FAIRWAY INDP MORTGAGE CORP,3659,4.0
3342,502.0,DIGITAL FCU,2900,5.0
3405,502.0,WELLS FARGO BK NA,2823,6.0
3398,502.0,UNION YES FCU,2743,7.0
3364,502.0,HINGHAM INST FOR SVG,2243,8.0
3380,502.0,PEOPLES UNITED BK NA,1926,9.0
3401,502.0,"WALKER & DUNLOP, LLC",1922,10.0
3415,503.0,EAST BOSTON SVG BK,2629,1.0
3420,503.0,MOUNTAINONE BK,2575,2.0
3421,503.0,MSA MORTGAGE LLC,1111,3.0
3424,503.0,RESIDENTIAL MORTGAGE SERVICES,962,4.0
3410,503.0,CITIZENS BK NA,912,5.0
3414,503.0,EAST BOSTON SAVINGS BANK,875,6.0
3409,503.0,CAMBRIDGE SVG BK,768,7.0
3411,503.0,COMMONWEALTH CO-OP BK,642,8.0
3422,503.0,PRIMELENDING A PLAINSCAPITAL C,618,9.0
3423,503.0,"QUICKEN LOANS, INC.",497,10.0
3450,504.0,EAST BOSTON SVG BK,9004,1.0
3452,504.0,EVERETT CO-OP BK,7540,2.0
3459,504.0,GUARANTEED RATE INC.,3755,3.0
3479,504.0,PILGRIM BK,2857,4.0
3494,504.0,UNION YES FCU,2820,5.0
3464,504.0,LOANDEPOT.COM,2719,6.0
3467,504.0,METRO CU,2516,7.0
3449,504.0,EAST BOSTON SAVINGS BANK,2365,8.0
3498,504.0,WINTER HILL BK,2295,9.0
3453,504.0,FAIRWAY INDP MORTGAGE CORP,2160,10.0
3528,505.0,MUTUAL FIRST FCU,5450,1.0
3514,505.0,FIRST REPUBLIC BK,2190,2.0
3500,505.0,BLUE HILLS BK,1617,3.0
3508,505.0,EAST BOSTON SVG BK,1601,4.0
